,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
195,31,1,1,,5,Português,female,Bachelor or equivalent
196,39,2,1,,3,Português,male,Lower secondary education
197,20,2,1,,5,Portugues,male,Bachelor or equivalent
199,21,2,1,,5,português,male,Bachelor or equivalent
200,24,2,1,,5,Portuguese,male,Bachelor or equivalent
201,20,2,1,,3,PORTUGUES,male,Lower secondary education
202,20,1,1,,6,Português,female,Master or equivalent
203,24,1,1,,5,Português ,female,Bachelor or equivalent
204,45,1,1,,5,Português ,female,Bachelor or equivalent
205,29,2,1,,5,Português,male,Bachelor or equivalent
206,27,1,1,,5,Português,female,Bachelor or equivalent
207,38,1,1,,4,Portuguesa ,female,Lower secondary education
208,23,1,1,,6,Português,female,Master or equivalent
209,51,2,1,,5,portugues,male,Bachelor or equivalent
210,26,2,1,,4,Portugues,male,Lower secondary education
213,40,1,2,grega,4,grega,female,Lower secondary education
214,46,2,1,,4,Portuguese,male,Lower secondary education
216,44,2,1,,5,Português,male,Bachelor or equivalent
217,44,1,1,,3,Português ,female,Lower secondary education
218,49,2,1,,5,Português,male,Bachelor or equivalent
219,27,2,1,,6,Português ,male,Master or equivalent
220,25,2,1,,6,português,male,Master or equivalent
221,25,2,1,,6,Português ,male,Master or equivalent
222,24,1,2,Brasileira,5,Português,female,Bachelor or equivalent
223,43,1,2,Brasileira,5,Português,female,Bachelor or equivalent
224,20,2,1,,3,Português,male,Lower secondary education
226,20,1,1,,3,Português,female,Lower secondary education
227,47,2,1,,3,Portugues,male,Lower secondary education
229,33,2,1,,4,Português,male,Lower secondary education
230,30,1,1,,6,Português ,female,Master or equivalent
231,23,2,1,,4,Portuguesa,male,Lower secondary education
234,34,2,2,Italiano,4,"Italiano, Grego ",male,Lower secondary education
235,31,1,1,,6,português,female,Master or equivalent
237,22,1,1,,5,Português ,female,Bachelor or equivalent
238,23,2,2,Nepalesa,4,Nepalês,male,Lower secondary education
239,30,2,1,,6,Português,male,Master or equivalent
240,22,1,1,,5,Português,female,Bachelor or equivalent
241,23,1,1,,6,Português,female,Master or equivalent
242,45,2,1,,5,Portuguese,male,Bachelor or equivalent
244,44,2,1,,3,Português ,male,Lower secondary education
245,30,2,1,,4,Portuguese,male,Lower secondary education
246,35,2,1,,6,português/inglês,male,Master or equivalent
247,46,1,1,,5,Português ,female,Bachelor or equivalent
248,40,1,1,,5,Português,female,Bachelor or equivalent
249,26,1,1,,6,Portuguese,female,Master or equivalent
250,20,2,1,,3,Português,male,Lower secondary education
251,35,1,1,,3,Português ,female,Lower secondary education
252,23,2,1,,6,Português,male,Master or equivalent
253,43,1,1,,6,portugues,female,Master or equivalent
254,23,1,1,,6,Português ,female,Master or equivalent
