,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
494,8.0,66.0,73.0,88.0,11.0,17.0,78.0,86.0,27.0,494
495,7.0,58.0,83.0,84.0,5.0,4.0,99.0,99.0,6.0,495
497,21.0,30.0,26.0,67.0,12.0,22.0,65.0,100.0,14.0,497
498,5.0,12.0,53.0,89.0,7.0,15.0,82.0,88.0,26.0,498
499,6.0,10.0,78.0,100.0,4.0,12.0,78.0,94.0,8.0,499
500,21.0,27.0,51.0,100.0,3.0,4.0,100.0,100.0,3.0,500
502,24.0,57.0,52.0,90.0,14.0,26.0,83.0,100.0,3.0,502
504,6.0,11.0,55.0,85.0,5.0,12.0,90.0,88.0,22.0,504
505,11.0,59.0,84.0,71.0,9.0,18.0,74.0,81.0,28.0,505
506,3.0,5.0,87.0,93.0,4.0,9.0,76.0,92.0,20.0,506
508,5.0,80.0,48.0,99.0,0.0,0.0,99.0,99.0,3.0,508
509,29.0,53.0,68.0,72.0,5.0,11.0,100.0,100.0,24.0,509
510,5.0,3.0,58.0,86.0,2.0,13.0,92.0,100.0,13.0,510
511,5.0,9.0,60.0,100.0,7.0,8.0,67.0,87.0,22.0,511
512,6.0,40.0,71.0,92.0,5.0,16.0,65.0,86.0,3.0,512
513,8.0,9.0,62.0,100.0,2.0,7.0,90.0,78.0,4.0,513
514,4.0,4.0,73.0,89.0,3.0,8.0,72.0,93.0,18.0,514
